topic,date,duration,meeting_id,recording_type,file_type,size_mb,download_url
Al Ghazzali Class - Spring 2022 Semester,2022-06-26T14:28:15Z,96,84459846086,shared_screen_with_speaker_view,MP4,647.7,https://us02web.zoom.us/rec/download/BPvIcOUBMV8TN6JaWexeCuVp-E_S5G2rH7AGhIzSVe1uNaVUpwYqSoWqBy4oRzzyS_cpRylL6SktrSoD.iOaHTXDEz9k4O40m?access_token=eyJzdiI6IjAwMDAwMiIsImFsZyI6IkhTNTEyIiwidiI6IjIuMCIsImtpZCI6ImUzZTllOTlmLTczMWItNDJmYi1iNTdjLTk3MThiMGQ5NjhmZiJ9.eyJhdWQiOiJodHRwczovL29hdXRoLnpvb20udXMiLCJ1aWQiOiJXSUVTcjJsMFJoT2syX3kwUWRWM3N3IiwidmVyIjoxMCwiYXVpZCI6ImRjYTk2MjRmZTBkY2E1YTgyMDVkYzVmOTg0MWRhNjNhZjlkNGE5YzBiY2FmY2M0MzEwOTE2NDk3NWIxNzE3OGYiLCJuYmYiOjE3NTAxMTM2NTMsImNvZGUiOiJPWmFjaVM0b1FSZURHUW1FNmw1TWpBdVlKQ1hXamxkMEUiLCJpc3MiOiJ6bTpjaWQ6UlRSYUVCM2lTeE90WUFhX29GeUJsdyIsImdubyI6MCwiZXhwIjoxNzUwMTE3MjUzLCJ0eXBlIjozLCJpYXQiOjE3NTAxMTM2NTMsImFpZCI6ImFudjJTZV9sUmpTYUtRTjE2ZjBhY3cifQ.cs3XJdZezkXgZzXN9owPD3tuY8ObXxWpTHslWtgfGU52lfPWFqrrvT0PGXKw1a7M4uWmq9_iGPP074JBUpohRg
Al Ghazzali Class - Spring 2022 Semester,2022-06-26T14:28:15Z,96,84459846086,chat_file,CHAT,0.0,https://us02web.zoom.us/rec/download/DKisBUAZtQCwxPLAvzxxH6QeymJBS8fVMkzPlLSUmjBD9i7qUTeLI3rnHR452VMsU6ibvwn2hYxn6M9g.amaWZ-2nIWUBbsrx?access_token=eyJzdiI6IjAwMDAwMiIsImFsZyI6IkhTNTEyIiwidiI6IjIuMCIsImtpZCI6ImUzZTllOTlmLTczMWItNDJmYi1iNTdjLTk3MThiMGQ5NjhmZiJ9.eyJhdWQiOiJodHRwczovL29hdXRoLnpvb20udXMiLCJ1aWQiOiJXSUVTcjJsMFJoT2syX3kwUWRWM3N3IiwidmVyIjoxMCwiYXVpZCI6ImRjYTk2MjRmZTBkY2E1YTgyMDVkYzVmOTg0MWRhNjNhZjlkNGE5YzBiY2FmY2M0MzEwOTE2NDk3NWIxNzE3OGYiLCJuYmYiOjE3NTAxMTM2NTMsImNvZGUiOiJPWmFjaVM0b1FSZURHUW1FNmw1TWpBdVlKQ1hXamxkMEUiLCJpc3MiOiJ6bTpjaWQ6UlRSYUVCM2lTeE90WUFhX29GeUJsdyIsImdubyI6MCwiZXhwIjoxNzUwMTE3MjUzLCJ0eXBlIjozLCJpYXQiOjE3NTAxMTM2NTMsImFpZCI6ImFudjJTZV9sUmpTYUtRTjE2ZjBhY3cifQ.cs3XJdZezkXgZzXN9owPD3tuY8ObXxWpTHslWtgfGU52lfPWFqrrvT0PGXKw1a7M4uWmq9_iGPP074JBUpohRg
Al Ghazzali Class - Spring 2022 Semester,2022-06-26T14:28:15Z,96,84459846086,audio_only,M4A,87.6,https://us02web.zoom.us/rec/download/GmpT4bLO_dmZBAyZtS59KWNdIYzLvEnFbjHSAGWZNF4HVtP8Mj6g4oPy73dNSli0I4mqN-EPnK344JAE.oaCI1kXfUTW5TURm?access_token=eyJzdiI6IjAwMDAwMiIsImFsZyI6IkhTNTEyIiwidiI6IjIuMCIsImtpZCI6ImUzZTllOTlmLTczMWItNDJmYi1iNTdjLTk3MThiMGQ5NjhmZiJ9.eyJhdWQiOiJodHRwczovL29hdXRoLnpvb20udXMiLCJ1aWQiOiJXSUVTcjJsMFJoT2syX3kwUWRWM3N3IiwidmVyIjoxMCwiYXVpZCI6ImRjYTk2MjRmZTBkY2E1YTgyMDVkYzVmOTg0MWRhNjNhZjlkNGE5YzBiY2FmY2M0MzEwOTE2NDk3NWIxNzE3OGYiLCJuYmYiOjE3NTAxMTM2NTMsImNvZGUiOiJPWmFjaVM0b1FSZURHUW1FNmw1TWpBdVlKQ1hXamxkMEUiLCJpc3MiOiJ6bTpjaWQ6UlRSYUVCM2lTeE90WUFhX29GeUJsdyIsImdubyI6MCwiZXhwIjoxNzUwMTE3MjUzLCJ0eXBlIjozLCJpYXQiOjE3NTAxMTM2NTMsImFpZCI6ImFudjJTZV9sUmpTYUtRTjE2ZjBhY3cifQ.cs3XJdZezkXgZzXN9owPD3tuY8ObXxWpTHslWtgfGU52lfPWFqrrvT0PGXKw1a7M4uWmq9_iGPP074JBUpohRg
Al Ghazzali Class - Spring 2022 Semester,2022-06-12T14:17:58Z,112,84459846086,shared_screen_with_speaker_view,MP4,733.8,https://us02web.zoom.us/rec/download/y41EOs4PTTxEhKXjyKLOYa8m-nXs6e7pyUR0CgM1yVGArVHctBPLG_zVcs2XFYZU-8gWXtXK0KDb-9KY.eiTQo_TSof3k6cUb?access_token=eyJzdiI6IjAwMDAwMiIsImFsZyI6IkhTNTEyIiwidiI6IjIuMCIsImtpZCI6ImUzZTllOTlmLTczMWItNDJmYi1iNTdjLTk3MThiMGQ5NjhmZiJ9.eyJhdWQiOiJodHRwczovL29hdXRoLnpvb20udXMiLCJ1aWQiOiJXSUVTcjJsMFJoT2syX3kwUWRWM3N3IiwidmVyIjoxMCwiYXVpZCI6ImRjYTk2MjRmZTBkY2E1YTgyMDVkYzVmOTg0MWRhNjNhZjlkNGE5YzBiY2FmY2M0MzEwOTE2NDk3NWIxNzE3OGYiLCJuYmYiOjE3NTAxMTM2NTMsImNvZGUiOiJPWmFjaVM0b1FSZURHUW1FNmw1TWpBdVlKQ1hXamxkMEUiLCJpc3MiOiJ6bTpjaWQ6UlRSYUVCM2lTeE90WUFhX29GeUJsdyIsImdubyI6MCwiZXhwIjoxNzUwMTE3MjUzLCJ0eXBlIjozLCJpYXQiOjE3NTAxMTM2NTMsImFpZCI6ImFudjJTZV9sUmpTYUtRTjE2ZjBhY3cifQ.cs3XJdZezkXgZzXN9owPD3tuY8ObXxWpTHslWtgfGU52lfPWFqrrvT0PGXKw1a7M4uWmq9_iGPP074JBUpohRg
Al Ghazzali Class - Spring 2022 Semester,2022-06-12T14:17:58Z,112,84459846086,audio_only,M4A,102.5,https://us02web.zoom.us/rec/download/X4Ynequ7BvZW80s_rx-p0isYESYaB3PKnWB_fqb7WZDuUsdmvIkB5u6kkG3olp0yj6ZW_AjidK6AAxg.dp-MYrnX89ee9K2r?access_token=eyJzdiI6IjAwMDAwMiIsImFsZyI6IkhTNTEyIiwidiI6IjIuMCIsImtpZCI6ImUzZTllOTlmLTczMWItNDJmYi1iNTdjLTk3MThiMGQ5NjhmZiJ9.eyJhdWQiOiJodHRwczovL29hdXRoLnpvb20udXMiLCJ1aWQiOiJXSUVTcjJsMFJoT2syX3kwUWRWM3N3IiwidmVyIjoxMCwiYXVpZCI6ImRjYTk2MjRmZTBkY2E1YTgyMDVkYzVmOTg0MWRhNjNhZjlkNGE5YzBiY2FmY2M0MzEwOTE2NDk3NWIxNzE3OGYiLCJuYmYiOjE3NTAxMTM2NTMsImNvZGUiOiJPWmFjaVM0b1FSZURHUW1FNmw1TWpBdVlKQ1hXamxkMEUiLCJpc3MiOiJ6bTpjaWQ6UlRSYUVCM2lTeE90WUFhX29GeUJsdyIsImdubyI6MCwiZXhwIjoxNzUwMTE3MjUzLCJ0eXBlIjozLCJpYXQiOjE3NTAxMTM2NTMsImFpZCI6ImFudjJTZV9sUmpTYUtRTjE2ZjBhY3cifQ.cs3XJdZezkXgZzXN9owPD3tuY8ObXxWpTHslWtgfGU52lfPWFqrrvT0PGXKw1a7M4uWmq9_iGPP074JBUpohRg
Al Ghazzali Class - Spring 2022 Semester,2022-06-05T14:30:54Z,94,84459846086,audio_only,M4A,86.4,https://us02web.zoom.us/rec/download/VMjc4k8XZbPMyaW6xDzqcr6rcwWRGTazG5N4lfgtWqQFjT_UW_7hG4K1yN9eY00BoIg6dMhbTMXrQRiK.SB6ktFhP09vVhN6t?access_token=eyJzdiI6IjAwMDAwMiIsImFsZyI6IkhTNTEyIiwidiI6IjIuMCIsImtpZCI6ImUzZTllOTlmLTczMWItNDJmYi1iNTdjLTk3MThiMGQ5NjhmZiJ9.eyJhdWQiOiJodHRwczovL29hdXRoLnpvb20udXMiLCJ1aWQiOiJXSUVTcjJsMFJoT2syX3kwUWRWM3N3IiwidmVyIjoxMCwiYXVpZCI6ImRjYTk2MjRmZTBkY2E1YTgyMDVkYzVmOTg0MWRhNjNhZjlkNGE5YzBiY2FmY2M0MzEwOTE2NDk3NWIxNzE3OGYiLCJuYmYiOjE3NTAxMTM2NTMsImNvZGUiOiJPWmFjaVM0b1FSZURHUW1FNmw1TWpBdVlKQ1hXamxkMEUiLCJpc3MiOiJ6bTpjaWQ6UlRSYUVCM2lTeE90WUFhX29GeUJsdyIsImdubyI6MCwiZXhwIjoxNzUwMTE3MjUzLCJ0eXBlIjozLCJpYXQiOjE3NTAxMTM2NTMsImFpZCI6ImFudjJTZV9sUmpTYUtRTjE2ZjBhY3cifQ.cs3XJdZezkXgZzXN9owPD3tuY8ObXxWpTHslWtgfGU52lfPWFqrrvT0PGXKw1a7M4uWmq9_iGPP074JBUpohRg
Al Ghazzali Class - Spring 2022 Semester,2022-06-05T14:30:54Z,94,84459846086,shared_screen_with_speaker_view,MP4,475.3,https://us02web.zoom.us/rec/download/tVXcPU7Jm5qd8vLyzj4wDFjITiXvgmO4sxEMYw2R6Ag4wTmcdepJu1BUwuSdz9EbnBpXdZKOxr7fvTO5.cSmJyFLnwv5vMuhT?access_token=eyJzdiI6IjAwMDAwMiIsImFsZyI6IkhTNTEyIiwidiI6IjIuMCIsImtpZCI6ImUzZTllOTlmLTczMWItNDJmYi1iNTdjLTk3MThiMGQ5NjhmZiJ9.eyJhdWQiOiJodHRwczovL29hdXRoLnpvb20udXMiLCJ1aWQiOiJXSUVTcjJsMFJoT2syX3kwUWRWM3N3IiwidmVyIjoxMCwiYXVpZCI6ImRjYTk2MjRmZTBkY2E1YTgyMDVkYzVmOTg0MWRhNjNhZjlkNGE5YzBiY2FmY2M0MzEwOTE2NDk3NWIxNzE3OGYiLCJuYmYiOjE3NTAxMTM2NTMsImNvZGUiOiJPWmFjaVM0b1FSZURHUW1FNmw1TWpBdVlKQ1hXamxkMEUiLCJpc3MiOiJ6bTpjaWQ6UlRSYUVCM2lTeE90WUFhX29GeUJsdyIsImdubyI6MCwiZXhwIjoxNzUwMTE3MjUzLCJ0eXBlIjozLCJpYXQiOjE3NTAxMTM2NTMsImFpZCI6ImFudjJTZV9sUmpTYUtRTjE2ZjBhY3cifQ.cs3XJdZezkXgZzXN9owPD3tuY8ObXxWpTHslWtgfGU52lfPWFqrrvT0PGXKw1a7M4uWmq9_iGPP074JBUpohRg
Al Ghazzali Class - Fall 2022 Semester,2022-12-18T15:19:59Z,72,84513109647,audio_only,M4A,66.0,https://us02web.zoom.us/rec/download/8SHKujjr3EvS4Iqwbx0jqAhAEBEHi3ylaeReMeajRyuR7CStQbStxM07K6XkEJv1WaOkYuKo19Fnj2_E.DXRpESSTipGYWDSF?access_token=eyJzdiI6IjAwMDAwMiIsImFsZyI6IkhTNTEyIiwidiI6IjIuMCIsImtpZCI6ImUzZTllOTlmLTczMWItNDJmYi1iNTdjLTk3MThiMGQ5NjhmZiJ9.eyJhdWQiOiJodHRwczovL29hdXRoLnpvb20udXMiLCJ1aWQiOiJXSUVTcjJsMFJoT2syX3kwUWRWM3N3IiwidmVyIjoxMCwiYXVpZCI6ImRjYTk2MjRmZTBkY2E1YTgyMDVkYzVmOTg0MWRhNjNhZjlkNGE5YzBiY2FmY2M0MzEwOTE2NDk3NWIxNzE3OGYiLCJuYmYiOjE3NTAxMTM2NTMsImNvZGUiOiJPWmFjaVM0b1FSZURHUW1FNmw1TWpBdVlKQ1hXamxkMEUiLCJpc3MiOiJ6bTpjaWQ6UlRSYUVCM2lTeE90WUFhX29GeUJsdyIsImdubyI6MCwiZXhwIjoxNzUwMTE3MjUzLCJ0eXBlIjozLCJpYXQiOjE3NTAxMTM2NTMsImFpZCI6ImFudjJTZV9sUmpTYUtRTjE2ZjBhY3cifQ.cs3XJdZezkXgZzXN9owPD3tuY8ObXxWpTHslWtgfGU52lfPWFqrrvT0PGXKw1a7M4uWmq9_iGPP074JBUpohRg
Al Ghazzali Class - Fall 2022 Semester,2022-12-18T15:19:59Z,72,84513109647,shared_screen_with_speaker_view,MP4,76.0,https://us02web.zoom.us/rec/download/ryxQpPEBhzNHT9GDvzkk41TdEsFvRGgRN320DgdCP2oQx-WXo-wbqRglohT5-_1nZZaJwZHcSm-_UJan.djJBpnTmpY2jIdfT?access_token=eyJzdiI6IjAwMDAwMiIsImFsZyI6IkhTNTEyIiwidiI6IjIuMCIsImtpZCI6ImUzZTllOTlmLTczMWItNDJmYi1iNTdjLTk3MThiMGQ5NjhmZiJ9.eyJhdWQiOiJodHRwczovL29hdXRoLnpvb20udXMiLCJ1aWQiOiJXSUVTcjJsMFJoT2syX3kwUWRWM3N3IiwidmVyIjoxMCwiYXVpZCI6ImRjYTk2MjRmZTBkY2E1YTgyMDVkYzVmOTg0MWRhNjNhZjlkNGE5YzBiY2FmY2M0MzEwOTE2NDk3NWIxNzE3OGYiLCJuYmYiOjE3NTAxMTM2NTMsImNvZGUiOiJPWmFjaVM0b1FSZURHUW1FNmw1TWpBdVlKQ1hXamxkMEUiLCJpc3MiOiJ6bTpjaWQ6UlRSYUVCM2lTeE90WUFhX29GeUJsdyIsImdubyI6MCwiZXhwIjoxNzUwMTE3MjUzLCJ0eXBlIjozLCJpYXQiOjE3NTAxMTM2NTMsImFpZCI6ImFudjJTZV9sUmpTYUtRTjE2ZjBhY3cifQ.cs3XJdZezkXgZzXN9owPD3tuY8ObXxWpTHslWtgfGU52lfPWFqrrvT0PGXKw1a7M4uWmq9_iGPP074JBUpohRg
Al Ghazzali Class - Fall 2022 Semester,2022-12-11T16:13:28Z,18,84513109647,audio_only,M4A,17.2,https://us02web.zoom.us/rec/download/_6uJjmxbtLDE0KblayFu7BbQiXfIw1UUR642bibkzXbqQZA0B7CzpuUMOS1Li54uJvfwd9W3FwiBTkUX.rJVgAPHRm5Y-gK9X?access_token=eyJzdiI6IjAwMDAwMiIsImFsZyI6IkhTNTEyIiwidiI6IjIuMCIsImtpZCI6ImUzZTllOTlmLTczMWItNDJmYi1iNTdjLTk3MThiMGQ5NjhmZiJ9.eyJhdWQiOiJodHRwczovL29hdXRoLnpvb20udXMiLCJ1aWQiOiJXSUVTcjJsMFJoT2syX3kwUWRWM3N3IiwidmVyIjoxMCwiYXVpZCI6ImRjYTk2MjRmZTBkY2E1YTgyMDVkYzVmOTg0MWRhNjNhZjlkNGE5YzBiY2FmY2M0MzEwOTE2NDk3NWIxNzE3OGYiLCJuYmYiOjE3NTAxMTM2NTMsImNvZGUiOiJPWmFjaVM0b1FSZURHUW1FNmw1TWpBdVlKQ1hXamxkMEUiLCJpc3MiOiJ6bTpjaWQ6UlRSYUVCM2lTeE90WUFhX29GeUJsdyIsImdubyI6MCwiZXhwIjoxNzUwMTE3MjUzLCJ0eXBlIjozLCJpYXQiOjE3NTAxMTM2NTMsImFpZCI6ImFudjJTZV9sUmpTYUtRTjE2ZjBhY3cifQ.cs3XJdZezkXgZzXN9owPD3tuY8ObXxWpTHslWtgfGU52lfPWFqrrvT0PGXKw1a7M4uWmq9_iGPP074JBUpohRg
